* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.010000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 15, Output Nodes: 10
* * * * * * * * *
1 Error: 0.89922222 0.902 0.894
2 Error: 0.89922222 0.902 0.894
3 Error: 0.90077778 0.895 0.904
4 Error: 0.90077778 0.895 0.904
5 Error: 0.90077778 0.895 0.904
6 Error: 0.90077778 0.895 0.904
7 Error: 0.90077778 0.895 0.904
8 Error: 0.90077778 0.895 0.904
9 Error: 0.90077778 0.895 0.904
10 Error: 0.90077778 0.895 0.904
11 Error: 0.90077778 0.895 0.904
12 Error: 0.90077778 0.895 0.904
13 Error: 0.90077778 0.895 0.904
14 Error: 0.90077778 0.895 0.904
15 Error: 0.90077778 0.895 0.904
16 Error: 0.89944444 0.894 0.903
17 Error: 0.80944444 0.816 0.816
18 Error: 0.78577778 0.802 0.785
19 Error: 0.77455556 0.779 0.772
20 Error: 0.76788889 0.768 0.759
21 Error: 0.75977778 0.762 0.747
22 Error: 0.74422222 0.750 0.739
23 Error: 0.71966667 0.726 0.713
24 Error: 0.69644444 0.708 0.684
25 Error: 0.67688889 0.687 0.668
26 Error: 0.66133333 0.677 0.656
27 Error: 0.63966667 0.656 0.642
28 Error: 0.61933333 0.641 0.619
29 Error: 0.59400000 0.603 0.593
30 Error: 0.56466667 0.567 0.560
31 Error: 0.54600000 0.548 0.520
32 Error: 0.53533333 0.542 0.509
33 Error: 0.53888889 0.543 0.506
34 Error: 0.55022222 0.551 0.518
35 Error: 0.56955556 0.574 0.533
36 Error: 0.59455556 0.606 0.559
37 Error: 0.61466667 0.620 0.572
38 Error: 0.62600000 0.630 0.584
39 Error: 0.63766667 0.647 0.598
40 Error: 0.63855556 0.643 0.598
41 Error: 0.61111111 0.625 0.566
42 Error: 0.54088889 0.566 0.504
43 Error: 0.49988889 0.533 0.460
44 Error: 0.47666667 0.516 0.443
45 Error: 0.48222222 0.514 0.443
46 Error: 0.49888889 0.522 0.461
47 Error: 0.51411111 0.533 0.473
48 Error: 0.52322222 0.535 0.480
49 Error: 0.53133333 0.550 0.494
50 Error: 0.54566667 0.569 0.508
51 Error: 0.66022222 0.668 0.602
52 Error: 0.68744444 0.695 0.642
53 Error: 0.69655556 0.701 0.657
54 Error: 0.70088889 0.710 0.661
55 Error: 0.70222222 0.714 0.663
56 Error: 0.70244444 0.719 0.665
57 Error: 0.70300000 0.719 0.665
58 Error: 0.70388889 0.718 0.663
59 Error: 0.70222222 0.715 0.661
60 Error: 0.70144444 0.715 0.659
61 Error: 0.70033333 0.715 0.660
62 Error: 0.69855556 0.712 0.660
63 Error: 0.69711111 0.714 0.659
64 Error: 0.69477778 0.711 0.659
65 Error: 0.69311111 0.708 0.652
66 Error: 0.69155556 0.707 0.656
67 Error: 0.68955556 0.705 0.651
68 Error: 0.68766667 0.704 0.649
69 Error: 0.68644444 0.703 0.643
70 Error: 0.68177778 0.700 0.636
71 Error: 0.67811111 0.692 0.639
72 Error: 0.67322222 0.687 0.640
73 Error: 0.66977778 0.686 0.637
74 Error: 0.66533333 0.680 0.635
75 Error: 0.66177778 0.669 0.634
76 Error: 0.65700000 0.668 0.626
77 Error: 0.65233333 0.665 0.620
78 Error: 0.64833333 0.656 0.623
79 Error: 0.64255556 0.658 0.621
80 Error: 0.63755556 0.656 0.623
81 Error: 0.63422222 0.652 0.613
82 Error: 0.63100000 0.650 0.607
83 Error: 0.62844444 0.649 0.604
84 Error: 0.62655556 0.648 0.599
85 Error: 0.62377778 0.647 0.601
86 Error: 0.62300000 0.644 0.600
87 Error: 0.62211111 0.645 0.598
88 Error: 0.62011111 0.645 0.601
89 Error: 0.61911111 0.648 0.600
90 Error: 0.61744444 0.646 0.597
91 Error: 0.61588889 0.644 0.597
92 Error: 0.61500000 0.642 0.596
93 Error: 0.61433333 0.642 0.594
94 Error: 0.61355556 0.640 0.591
95 Error: 0.61255556 0.641 0.593
96 Error: 0.61277778 0.641 0.587
97 Error: 0.61233333 0.639 0.587
98 Error: 0.61100000 0.641 0.589
99 Error: 0.61011111 0.639 0.586
100 Error: 0.61022222 0.638 0.587
