* * * * * * * * *
Parameters => Max Epochs: 100, Learning Rate: 1.000000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 15, Output Nodes: 10
* * * * * * * * *
1 Error: 0.47411111 0.522 0.426
2 Error: 0.35911111 0.399 0.308
3 Error: 0.37388889 0.426 0.315
4 Error: 0.28577778 0.332 0.231
5 Error: 0.23122222 0.263 0.204
6 Error: 0.21244444 0.238 0.187
7 Error: 0.19344444 0.220 0.146
8 Error: 0.22744444 0.259 0.180
9 Error: 0.18511111 0.206 0.139
10 Error: 0.20055556 0.234 0.177
11 Error: 0.21100000 0.233 0.183
12 Error: 0.19188889 0.217 0.157
13 Error: 0.22544444 0.240 0.182
14 Error: 0.19133333 0.203 0.161
15 Error: 0.22944444 0.248 0.195
16 Error: 0.21255556 0.230 0.179
17 Error: 0.19000000 0.209 0.155
18 Error: 0.20411111 0.230 0.169
19 Error: 0.22733333 0.246 0.167
