* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.030000
Type of network used: SimpleNetwork
Input Nodes: 196, Hidden Nodes: 0, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.46977778 0.492 0.451
2 Performance: 0.35788889 0.377 0.302
3 Performance: 0.29000000 0.310 0.231
4 Performance: 0.25277778 0.287 0.200
5 Performance: 0.23511111 0.254 0.183
6 Performance: 0.22066667 0.243 0.169
7 Performance: 0.21055556 0.235 0.158
8 Performance: 0.20144444 0.224 0.150
9 Performance: 0.19522222 0.214 0.145
10 Performance: 0.18844444 0.207 0.140
11 Performance: 0.18266667 0.201 0.133
12 Performance: 0.17922222 0.197 0.132
13 Performance: 0.17633333 0.191 0.130
14 Performance: 0.17344444 0.190 0.127
15 Performance: 0.17122222 0.188 0.124
16 Performance: 0.16944444 0.183 0.122
17 Performance: 0.16722222 0.181 0.118
18 Performance: 0.16555556 0.180 0.116
19 Performance: 0.16311111 0.176 0.114
20 Performance: 0.16177778 0.173 0.115
21 Performance: 0.16022222 0.170 0.115
22 Performance: 0.15922222 0.167 0.115
23 Performance: 0.15800000 0.166 0.114
24 Performance: 0.15677778 0.164 0.110
25 Performance: 0.15500000 0.162 0.108
26 Performance: 0.15455556 0.159 0.107
27 Performance: 0.15355556 0.161 0.106
28 Performance: 0.15244444 0.162 0.106
29 Performance: 0.15200000 0.161 0.106
30 Performance: 0.15177778 0.160 0.105
31 Performance: 0.15111111 0.159 0.105
32 Performance: 0.15066667 0.159 0.105
33 Performance: 0.14944444 0.157 0.105
34 Performance: 0.14877778 0.155 0.105
35 Performance: 0.14844444 0.154 0.105
36 Performance: 0.14766667 0.154 0.105
37 Performance: 0.14744444 0.152 0.103
38 Performance: 0.14655556 0.150 0.102
39 Performance: 0.14588889 0.148 0.101
40 Performance: 0.14533333 0.148 0.100
41 Performance: 0.14477778 0.148 0.100
42 Performance: 0.14411111 0.147 0.099
43 Performance: 0.14377778 0.145 0.099
44 Performance: 0.14311111 0.145 0.097
45 Performance: 0.14266667 0.145 0.094
46 Performance: 0.14211111 0.145 0.094
47 Performance: 0.14155556 0.144 0.094
48 Performance: 0.14100000 0.144 0.094
49 Performance: 0.14088889 0.144 0.093
50 Performance: 0.14000000 0.144 0.094
51 Performance: 0.13966667 0.143 0.094
52 Performance: 0.13900000 0.142 0.094
53 Performance: 0.13833333 0.142 0.094
54 Performance: 0.13833333 0.142 0.094
55 Performance: 0.13777778 0.142 0.094
56 Performance: 0.13722222 0.142 0.095
57 Performance: 0.13666667 0.142 0.095
58 Performance: 0.13633333 0.143 0.095
59 Performance: 0.13644444 0.142 0.094
60 Performance: 0.13611111 0.142 0.092
61 Performance: 0.13555556 0.143 0.092
62 Performance: 0.13533333 0.143 0.091
63 Performance: 0.13477778 0.143 0.091
64 Performance: 0.13500000 0.142 0.091
65 Performance: 0.13500000 0.142 0.090
66 Performance: 0.13444444 0.141 0.090
67 Performance: 0.13355556 0.141 0.090
68 Performance: 0.13300000 0.141 0.089
69 Performance: 0.13266667 0.140 0.089
70 Performance: 0.13211111 0.140 0.088
71 Performance: 0.13200000 0.141 0.088
72 Performance: 0.13211111 0.142 0.088
73 Performance: 0.13200000 0.142 0.088
74 Performance: 0.13177778 0.142 0.088
75 Performance: 0.13133333 0.142 0.088
76 Performance: 0.13088889 0.142 0.088
77 Performance: 0.13077778 0.142 0.088
78 Performance: 0.13033333 0.141 0.088
79 Performance: 0.13011111 0.141 0.088
80 Performance: 0.12988889 0.141 0.087
81 Performance: 0.12966667 0.140 0.087
82 Performance: 0.12955556 0.139 0.087
83 Performance: 0.12911111 0.138 0.087
84 Performance: 0.12900000 0.139 0.087
85 Performance: 0.12877778 0.139 0.086
86 Performance: 0.12844444 0.139 0.086
87 Performance: 0.12844444 0.139 0.085
88 Performance: 0.12833333 0.139 0.085
89 Performance: 0.12811111 0.139 0.084
90 Performance: 0.12777778 0.139 0.084
91 Performance: 0.12777778 0.139 0.084
92 Performance: 0.12755556 0.139 0.085
93 Performance: 0.12744444 0.139 0.085
94 Performance: 0.12722222 0.139 0.085
95 Performance: 0.12700000 0.138 0.085
96 Performance: 0.12622222 0.138 0.085
97 Performance: 0.12633333 0.137 0.085
98 Performance: 0.12633333 0.137 0.085
99 Performance: 0.12622222 0.136 0.085
100 Performance: 0.12611111 0.136 0.085
