* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.001000
Type of network used: SimpleNetwork
Input Nodes: 196, Hidden Nodes: 0, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.90077778 0.895 0.904
2 Performance: 0.84511111 0.843 0.835
3 Performance: 0.65277778 0.674 0.632
4 Performance: 0.55166667 0.599 0.533
5 Performance: 0.48466667 0.524 0.454
6 Performance: 0.43633333 0.489 0.396
7 Performance: 0.40833333 0.454 0.354
8 Performance: 0.38977778 0.427 0.334
9 Performance: 0.37233333 0.404 0.324
10 Performance: 0.35788889 0.395 0.310
11 Performance: 0.34711111 0.378 0.298
12 Performance: 0.33888889 0.367 0.285
13 Performance: 0.33244444 0.358 0.274
14 Performance: 0.32511111 0.354 0.265
15 Performance: 0.31922222 0.346 0.261
16 Performance: 0.31366667 0.338 0.255
17 Performance: 0.30888889 0.337 0.252
18 Performance: 0.30511111 0.332 0.248
19 Performance: 0.30000000 0.325 0.246
20 Performance: 0.29611111 0.320 0.239
21 Performance: 0.29255556 0.316 0.233
22 Performance: 0.28777778 0.314 0.233
23 Performance: 0.28544444 0.310 0.232
24 Performance: 0.28355556 0.310 0.230
25 Performance: 0.28211111 0.307 0.225
26 Performance: 0.27966667 0.303 0.222
27 Performance: 0.27677778 0.301 0.220
28 Performance: 0.27377778 0.298 0.219
29 Performance: 0.27088889 0.294 0.217
30 Performance: 0.26888889 0.295 0.215
31 Performance: 0.26733333 0.294 0.214
32 Performance: 0.26522222 0.294 0.214
33 Performance: 0.26266667 0.292 0.215
34 Performance: 0.26011111 0.286 0.213
35 Performance: 0.25944444 0.286 0.211
36 Performance: 0.25744444 0.284 0.210
37 Performance: 0.25588889 0.283 0.209
38 Performance: 0.25377778 0.279 0.208
39 Performance: 0.25155556 0.275 0.207
40 Performance: 0.25122222 0.274 0.205
41 Performance: 0.24977778 0.272 0.203
42 Performance: 0.24888889 0.271 0.203
43 Performance: 0.24788889 0.271 0.201
44 Performance: 0.24655556 0.267 0.199
45 Performance: 0.24577778 0.265 0.199
46 Performance: 0.24477778 0.265 0.195
47 Performance: 0.24377778 0.264 0.194
48 Performance: 0.24322222 0.264 0.195
49 Performance: 0.24244444 0.262 0.194
50 Performance: 0.24088889 0.261 0.191
51 Performance: 0.24066667 0.260 0.190
52 Performance: 0.23966667 0.259 0.191
53 Performance: 0.23866667 0.259 0.191
54 Performance: 0.23811111 0.257 0.190
55 Performance: 0.23733333 0.257 0.189
56 Performance: 0.23700000 0.256 0.189
57 Performance: 0.23588889 0.254 0.187
58 Performance: 0.23488889 0.255 0.187
59 Performance: 0.23400000 0.255 0.183
60 Performance: 0.23288889 0.254 0.182
61 Performance: 0.23166667 0.254 0.180
62 Performance: 0.23022222 0.254 0.179
63 Performance: 0.22933333 0.252 0.179
64 Performance: 0.22811111 0.252 0.176
65 Performance: 0.22766667 0.250 0.176
66 Performance: 0.22733333 0.250 0.176
67 Performance: 0.22688889 0.247 0.175
68 Performance: 0.22644444 0.247 0.176
69 Performance: 0.22588889 0.246 0.176
70 Performance: 0.22522222 0.245 0.176
71 Performance: 0.22511111 0.244 0.176
72 Performance: 0.22433333 0.243 0.175
73 Performance: 0.22422222 0.243 0.175
74 Performance: 0.22355556 0.243 0.175
75 Performance: 0.22277778 0.243 0.174
76 Performance: 0.22244444 0.243 0.174
77 Performance: 0.22144444 0.241 0.172
78 Performance: 0.22044444 0.241 0.170
79 Performance: 0.21977778 0.240 0.167
80 Performance: 0.21966667 0.239 0.166
81 Performance: 0.21944444 0.238 0.166
82 Performance: 0.21911111 0.238 0.166
83 Performance: 0.21833333 0.237 0.165
84 Performance: 0.21744444 0.237 0.164
85 Performance: 0.21688889 0.236 0.163
86 Performance: 0.21688889 0.234 0.163
87 Performance: 0.21622222 0.233 0.161
88 Performance: 0.21600000 0.232 0.161
89 Performance: 0.21522222 0.231 0.161
90 Performance: 0.21511111 0.231 0.161
91 Performance: 0.21488889 0.231 0.160
92 Performance: 0.21444444 0.230 0.159
93 Performance: 0.21422222 0.230 0.159
94 Performance: 0.21400000 0.230 0.159
95 Performance: 0.21366667 0.229 0.158
96 Performance: 0.21333333 0.228 0.158
97 Performance: 0.21244444 0.226 0.157
98 Performance: 0.21222222 0.226 0.157
99 Performance: 0.21122222 0.224 0.155
100 Performance: 0.21088889 0.224 0.155
