danbrou:hw2 danielbroudy$ python neural_net_main.py -e 100 -r 0.01 -t simple
* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.010000
Type of network used: SimpleNetwork
Input Nodes: 196, Hidden Nodes: 0, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.74288889 0.726 0.701
2 Performance: 0.55911111 0.550 0.520
3 Performance: 0.42544444 0.429 0.384
4 Performance: 0.34988889 0.362 0.319
5 Performance: 0.30555556 0.316 0.270
6 Performance: 0.27777778 0.295 0.239
7 Performance: 0.25933333 0.275 0.219
8 Performance: 0.24366667 0.267 0.211
9 Performance: 0.23355556 0.254 0.196
10 Performance: 0.22811111 0.245 0.183
11 Performance: 0.22200000 0.234 0.178
12 Performance: 0.21611111 0.229 0.176
13 Performance: 0.21011111 0.225 0.170
14 Performance: 0.20600000 0.220 0.164
15 Performance: 0.20055556 0.215 0.161
16 Performance: 0.19788889 0.213 0.159
17 Performance: 0.19466667 0.211 0.153
18 Performance: 0.19055556 0.210 0.148
19 Performance: 0.18900000 0.208 0.143
20 Performance: 0.18588889 0.204 0.140
21 Performance: 0.18400000 0.201 0.138
22 Performance: 0.18166667 0.200 0.135
23 Performance: 0.18122222 0.200 0.135
24 Performance: 0.17911111 0.197 0.134
25 Performance: 0.17833333 0.196 0.132
26 Performance: 0.17755556 0.195 0.129
27 Performance: 0.17622222 0.193 0.128
28 Performance: 0.17500000 0.192 0.125
29 Performance: 0.17422222 0.191 0.125
30 Performance: 0.17300000 0.191 0.124
31 Performance: 0.17166667 0.189 0.122
32 Performance: 0.17011111 0.187 0.122
33 Performance: 0.16944444 0.187 0.121
34 Performance: 0.16911111 0.186 0.121
35 Performance: 0.16777778 0.186 0.119
36 Performance: 0.16722222 0.184 0.119
37 Performance: 0.16577778 0.183 0.118
38 Performance: 0.16500000 0.181 0.117
39 Performance: 0.16411111 0.181 0.114
40 Performance: 0.16355556 0.179 0.113
41 Performance: 0.16255556 0.179 0.113
42 Performance: 0.16155556 0.181 0.113
43 Performance: 0.16144444 0.179 0.114
44 Performance: 0.16066667 0.179 0.114
45 Performance: 0.15977778 0.178 0.114
46 Performance: 0.15966667 0.178 0.114
47 Performance: 0.15933333 0.177 0.114
48 Performance: 0.15833333 0.177 0.113
49 Performance: 0.15777778 0.177 0.113
50 Performance: 0.15722222 0.174 0.113
51 Performance: 0.15622222 0.174 0.112
52 Performance: 0.15555556 0.173 0.111
53 Performance: 0.15511111 0.171 0.111
54 Performance: 0.15488889 0.169 0.111
55 Performance: 0.15444444 0.168 0.111
56 Performance: 0.15377778 0.167 0.110
57 Performance: 0.15377778 0.167 0.110
58 Performance: 0.15355556 0.165 0.110
59 Performance: 0.15322222 0.165 0.110
60 Performance: 0.15266667 0.165 0.110
61 Performance: 0.15211111 0.165 0.109
62 Performance: 0.15200000 0.163 0.108
63 Performance: 0.15166667 0.163 0.106
64 Performance: 0.15155556 0.163 0.107
65 Performance: 0.15100000 0.163 0.109
66 Performance: 0.15077778 0.163 0.109
67 Performance: 0.15044444 0.163 0.109
68 Performance: 0.15055556 0.162 0.108
69 Performance: 0.15022222 0.162 0.107
70 Performance: 0.15011111 0.162 0.107
71 Performance: 0.15000000 0.162 0.106
72 Performance: 0.14977778 0.163 0.106
73 Performance: 0.14933333 0.163 0.106
74 Performance: 0.14944444 0.162 0.106
75 Performance: 0.14900000 0.161 0.106
76 Performance: 0.14900000 0.161 0.106
77 Performance: 0.14877778 0.160 0.105
78 Performance: 0.14888889 0.159 0.105
79 Performance: 0.14877778 0.159 0.105
80 Performance: 0.14855556 0.157 0.105
81 Performance: 0.14866667 0.157 0.104
82 Performance: 0.14866667 0.156 0.104
83 Performance: 0.14822222 0.156 0.103
84 Performance: 0.14788889 0.156 0.103
85 Performance: 0.14766667 0.156 0.103
86 Performance: 0.14733333 0.156 0.103
87 Performance: 0.14733333 0.156 0.103
88 Performance: 0.14711111 0.156 0.103
89 Performance: 0.14711111 0.155 0.103
90 Performance: 0.14700000 0.154 0.102
91 Performance: 0.14688889 0.154 0.101
92 Performance: 0.14666667 0.154 0.101
93 Performance: 0.14644444 0.154 0.101
94 Performance: 0.14644444 0.154 0.100
95 Performance: 0.14633333 0.154 0.100
96 Performance: 0.14611111 0.154 0.100
97 Performance: 0.14622222 0.154 0.100
98 Performance: 0.14611111 0.154 0.100
99 Performance: 0.14633333 0.154 0.100
100 Performance: 0.14600000 0.154 0.099
