* * * * * * * * *
Parameters => Max Epochs: 100, Learning Rate: 1.000000
Type of network used: SimpleNetwork
Input Nodes: 36, Hidden Nodes: 0, Output Nodes: 2
* * * * * * * * *
1 Error: 0.48500000 0.543 0.493
2 Error: 0.48344444 0.542 0.488
3 Error: 0.48266667 0.542 0.488
4 Error: 0.48255556 0.542 0.488
5 Error: 0.48255556 0.542 0.488
6 Error: 0.48255556 0.542 0.488
7 Error: 0.48255556 0.542 0.488
8 Error: 0.48255556 0.542 0.488
9 Error: 0.48255556 0.542 0.488
10 Error: 0.48255556 0.542 0.488
11 Error: 0.48255556 0.542 0.488
12 Error: 0.48255556 0.542 0.488
13 Error: 0.48255556 0.542 0.488
14 Error: 0.48255556 0.542 0.488
15 Error: 0.48255556 0.542 0.488
16 Error: 0.48255556 0.542 0.488
17 Error: 0.48255556 0.542 0.488
18 Error: 0.48255556 0.542 0.488
19 Error: 0.48255556 0.542 0.488
20 Error: 0.48255556 0.542 0.488
21 Error: 0.48255556 0.542 0.488
22 Error: 0.48255556 0.542 0.488
23 Error: 0.48255556 0.542 0.488
24 Error: 0.48255556 0.542 0.488
25 Error: 0.48255556 0.542 0.488
26 Error: 0.48255556 0.542 0.488
27 Error: 0.48255556 0.542 0.488
28 Error: 0.48255556 0.542 0.488
29 Error: 0.48255556 0.542 0.488
30 Error: 0.48255556 0.542 0.488
31 Error: 0.48255556 0.542 0.488
32 Error: 0.48255556 0.542 0.488
33 Error: 0.48255556 0.542 0.488
34 Error: 0.48255556 0.542 0.488
35 Error: 0.48255556 0.542 0.488
36 Error: 0.48255556 0.542 0.488
37 Error: 0.48255556 0.542 0.488
38 Error: 0.48255556 0.542 0.488
39 Error: 0.48255556 0.542 0.488
40 Error: 0.48255556 0.542 0.488
41 Error: 0.48255556 0.542 0.488
42 Error: 0.48255556 0.542 0.488
43 Error: 0.48255556 0.542 0.488
44 Error: 0.48255556 0.542 0.488
45 Error: 0.48255556 0.542 0.488
46 Error: 0.48255556 0.542 0.488
47 Error: 0.48255556 0.542 0.488
48 Error: 0.48255556 0.542 0.488
49 Error: 0.48255556 0.542 0.488
50 Error: 0.48255556 0.542 0.488
51 Error: 0.48255556 0.542 0.488
52 Error: 0.48255556 0.542 0.488
53 Error: 0.48255556 0.542 0.488
54 Error: 0.48255556 0.542 0.488
55 Error: 0.48255556 0.542 0.488
56 Error: 0.48255556 0.542 0.488
57 Error: 0.48255556 0.542 0.488
58 Error: 0.48255556 0.542 0.488
59 Error: 0.48255556 0.542 0.488
60 Error: 0.48255556 0.542 0.488
61 Error: 0.48255556 0.542 0.488
62 Error: 0.48255556 0.542 0.488
63 Error: 0.48255556 0.542 0.488
64 Error: 0.48255556 0.542 0.488
65 Error: 0.48255556 0.542 0.488
66 Error: 0.48255556 0.542 0.488
67 Error: 0.48255556 0.542 0.488
68 Error: 0.48255556 0.542 0.488
69 Error: 0.48255556 0.542 0.488
70 Error: 0.48255556 0.542 0.488
71 Error: 0.48255556 0.542 0.488
72 Error: 0.48255556 0.542 0.488
73 Error: 0.48255556 0.542 0.488
74 Error: 0.48255556 0.542 0.488
75 Error: 0.48255556 0.542 0.488
76 Error: 0.48255556 0.542 0.488
77 Error: 0.48255556 0.542 0.488
78 Error: 0.48255556 0.542 0.488
79 Error: 0.48255556 0.542 0.488
80 Error: 0.48255556 0.542 0.488
81 Error: 0.48255556 0.542 0.488
82 Error: 0.48255556 0.542 0.488
83 Error: 0.48255556 0.542 0.488
84 Error: 0.48255556 0.542 0.488
85 Error: 0.48255556 0.542 0.488
86 Error: 0.48255556 0.542 0.488
87 Error: 0.48255556 0.542 0.488
88 Error: 0.48255556 0.542 0.488
89 Error: 0.48255556 0.542 0.488
90 Error: 0.48255556 0.542 0.488
91 Error: 0.48255556 0.542 0.488
92 Error: 0.48255556 0.542 0.488
93 Error: 0.48255556 0.542 0.488
94 Error: 0.48255556 0.542 0.488
95 Error: 0.48255556 0.542 0.488
96 Error: 0.48255556 0.542 0.488
97 Error: 0.48255556 0.542 0.488
98 Error: 0.48255556 0.542 0.488
99 Error: 0.48255556 0.542 0.488
100 Error: 0.48255556 0.542 0.488
* * * * * * * * *
Parameters => Max Epochs: 100, Learning Rate: 0.100000
Type of network used: SimpleNetwork
Input Nodes: 36, Hidden Nodes: 0, Output Nodes: 2
* * * * * * * * *
1 Error: 0.44322222 0.482 0.443
2 Error: 0.38988889 0.427 0.380
3 Error: 0.37366667 0.404 0.383
4 Error: 0.36500000 0.401 0.372
5 Error: 0.36155556 0.398 0.365
6 Error: 0.36100000 0.393 0.360
7 Error: 0.36000000 0.389 0.354
8 Error: 0.35900000 0.391 0.354
9 Error: 0.35844444 0.390 0.355
10 Error: 0.35844444 0.388 0.353
11 Error: 0.35922222 0.387 0.352
12 Error: 0.35922222 0.387 0.353
13 Error: 0.35922222 0.387 0.352
14 Error: 0.35866667 0.386 0.352
15 Error: 0.35844444 0.386 0.353
16 Error: 0.35833333 0.385 0.353
17 Error: 0.35866667 0.385 0.353
18 Error: 0.35855556 0.385 0.353
19 Error: 0.35866667 0.385 0.353
20 Error: 0.35866667 0.384 0.354
21 Error: 0.35866667 0.384 0.354
22 Error: 0.35866667 0.384 0.354
23 Error: 0.35866667 0.384 0.354
24 Error: 0.35866667 0.384 0.354
25 Error: 0.35888889 0.384 0.354
26 Error: 0.35888889 0.384 0.354
27 Error: 0.35888889 0.384 0.354
28 Error: 0.35888889 0.384 0.354
29 Error: 0.35900000 0.384 0.354
30 Error: 0.35911111 0.384 0.354
31 Error: 0.35911111 0.384 0.354
32 Error: 0.35911111 0.384 0.354
33 Error: 0.35911111 0.384 0.354
34 Error: 0.35911111 0.384 0.354
35 Error: 0.35911111 0.384 0.354
36 Error: 0.35911111 0.384 0.354
37 Error: 0.35911111 0.384 0.354
38 Error: 0.35911111 0.384 0.354
39 Error: 0.35911111 0.384 0.354
40 Error: 0.35911111 0.384 0.354
41 Error: 0.35911111 0.384 0.354
42 Error: 0.35911111 0.384 0.354
43 Error: 0.35911111 0.384 0.354
44 Error: 0.35911111 0.384 0.354
45 Error: 0.35911111 0.384 0.354
46 Error: 0.35911111 0.384 0.354
47 Error: 0.35911111 0.384 0.354
48 Error: 0.35911111 0.384 0.354
49 Error: 0.35911111 0.384 0.354
50 Error: 0.35911111 0.384 0.354
51 Error: 0.35911111 0.384 0.354
52 Error: 0.35911111 0.384 0.354
53 Error: 0.35911111 0.384 0.354
54 Error: 0.35911111 0.384 0.354
55 Error: 0.35911111 0.384 0.354
56 Error: 0.35911111 0.384 0.354
